B02001_001E,B02001_002E,state,county,tract,block group
1834,1743,04,013,617600,2
1269,1231,04,013,617500,2
2689,2583,04,013,617400,3
867,867,04,013,617400,4
845,815,04,013,617000,4
1123,898,04,013,617000,3
1195,984,04,013,217203,1
923,839,04,013,216835,2
998,954,04,013,216834,1
2279,2106,04,013,092720,4
3816,3258,04,013,061030,3
981,836,04,013,061029,4
1106,1022,04,013,061029,1
1105,954,04,013,061027,4
2052,1556,04,013,813900,2
1032,987,04,013,813700,1
2012,1527,04,013,813500,1
3332,2469,04,013,813300,2
1994,1116,04,013,115300,1
2945,2087,04,013,115700,1
2398,1674,04,013,115900,1
1824,839,04,013,116300,3
1271,1183,04,013,103607,1
642,0,04,001,944100,3
1042,3,04,001,944100,1
1090,2,04,001,944300,5
1618,6,04,001,944300,3
2291,2012,04,005,000200,1
2572,1658,04,005,000300,2
767,718,04,005,002000,2
830,795,04,007,001000,5
2927,45,04,007,940400,2
471,471,04,007,000100,4
882,846,04,007,000100,2
1209,919,04,007,000500,1
1505,1182,04,007,000900,1
609,592,04,007,001100,4
864,649,04,007,001100,3
708,636,04,007,000400,2
935,750,04,007,000600,1
827,678,04,027,000301,1
1228,848,04,003,001200,3
1191,922,04,003,001300,3
1051,966,04,003,000500,3
731,672,04,027,000600,1
892,741,04,019,004049,2
484,477,04,019,004404,3
854,775,04,019,004412,1
2238,1850,04,019,004723,1
1149,983,04,013,103604,2
702,441,04,019,002300,4
1724,1564,04,019,004633,1
522,476,04,019,004720,1
1213,895,04,013,109200,1
2856,1846,04,013,109602,3
3301,2161,04,013,109604,2
1484,648,04,013,109705,2
1436,1324,04,013,110400,4
518,281,04,013,421302,4
2156,1386,04,013,421302,2
2085,1630,04,013,422210,2
1534,1198,04,013,071512,2
1308,1308,04,013,040506,2
1689,1249,04,013,061009,2
623,623,04,013,071504,3
514,410,04,013,422401,3
3347,1839,04,013,109701,3
2958,1994,04,013,110001,1
1229,821,04,013,109603,1
780,750,04,013,105103,2
1523,1234,04,013,107500,2
1091,1080,04,013,107500,1
598,552,04,013,107900,1
1746,1589,04,013,071910,5
1756,1410,04,013,216816,2
697,631,04,019,004054,1
1182,1066,04,019,003400,5
963,658,04,019,003400,4
1750,1613,04,013,217002,2
1230,1108,04,013,217002,3
1713,1618,04,013,218000,2
2471,1242,04,013,318400,1
1828,546,04,013,320002,2
1559,1047,04,013,420501,2
2272,2023,04,013,420706,1
2185,1125,04,013,421202,2
1106,832,04,013,421602,2
1467,1237,04,019,004057,2
1358,1042,04,019,004710,2
728,396,04,019,004714,5
3545,2446,04,013,116602,2
1695,767,04,013,108602,4
2692,1529,04,013,116702,2
1069,505,04,013,116702,4
1604,1443,04,013,420202,1
902,747,04,013,108200,1
1116,728,04,013,115400,2
1959,1522,04,013,115500,1
3266,1717,04,013,116000,2
1867,1060,04,013,116202,2
2150,1654,04,013,116703,2
1979,1803,04,013,116714,1
5217,4595,04,025,000300,1
1237,1172,04,025,000900,3
1462,729,04,025,000900,1
2913,2030,04,005,000800,2
1315,1299,04,021,000700,1
2186,1460,04,021,001600,1
1990,66,04,021,941200,3
2285,2088,04,021,000201,2
4516,3547,04,005,000900,2
1010,828,04,005,000100,2
1357,1234,04,005,001200,1
852,787,04,005,001500,4
398,329,04,021,000400,3
1794,1118,04,013,116719,1
2281,1481,04,013,116719,3
1105,646,04,013,110600,3
1169,806,04,013,111000,3
943,922,04,013,111000,1
2342,1279,04,013,111700,1
640,385,04,019,002602,3
1162,1012,04,019,002602,1
1142,978,04,019,002803,2
875,791,04,013,103502,2
1625,1270,04,013,061200,1
894,872,04,013,071503,3
634,634,04,013,071503,1
790,759,04,013,071802,2
1852,1559,04,013,109101,1
1163,1008,04,013,109003,3
2737,1870,04,021,001600,4
2531,1851,04,019,004646,2
1971,1526,04,019,004645,2
1432,1045,04,019,004422,4
1546,601,04,013,319706,1
1474,1257,04,013,103900,3
1504,957,04,013,104227,1
947,736,04,013,104501,1
1346,1346,04,025,001101,3
1909,1715,04,013,071600,1
1023,944,04,013,103501,3
1349,1174,04,013,104207,2
2374,1118,04,013,319800,4
1259,912,04,013,319800,5
1828,1351,04,013,319903,4
964,860,04,013,319903,3
1524,1192,04,013,319904,3
3019,1506,04,013,320007,3
1579,1155,04,013,422507,2
566,441,04,017,963300,1
890,856,04,013,613600,3
1409,1276,04,013,613500,2
1491,1454,04,013,613400,1
2530,1975,04,013,092401,3
2586,2181,04,013,422642,1
3200,2481,04,013,422641,1
1278,929,04,013,815800,2
2515,2216,04,013,815700,1
2181,2025,04,013,814600,1
543,487,04,015,940501,2
3517,3333,04,015,952003,2
1020,1020,04,015,950401,2
1494,1109,04,019,004011,6
1067,737,04,013,092802,2
1610,1248,04,013,092724,2
1234,1145,04,025,002100,1
1829,1829,04,025,001702,3
1436,42,04,021,941200,4
702,662,04,021,002400,3
150,60,04,021,001711,2
1476,100,04,021,941300,1
5568,5115,04,015,953601,2
1100,1055,04,015,953401,1
1532,1492,04,015,950705,3
2455,2335,04,015,951401,2
1903,1235,04,019,001304,2
944,915,04,021,000316,2
1753,1431,04,019,004068,1
1833,1506,04,019,004067,1
2107,1143,04,019,004512,2
